task_id,task_type,developer_seniority,complexity,team_size,estimated_hours,actual_hours,error_hours,pct_error
T0087,bug_fix,junior,5,3,14.5,19.0,4.5,31.0
T0088,new_feature,mid,1,3,19.0,33.4,14.4,75.8
T0089,integration,junior,5,2,50.9,68.8,17.9,35.2
T0090,ui_design,senior,1,1,12.9,12.7,-0.2,-1.6
T0091,refactor,junior,4,4,32.0,45.5,13.5,42.2
T0092,ui_design,senior,2,2,12.2,9.8,-2.4,-19.7
T0093,ui_design,senior,2,4,14.6,20.4,5.8,39.7
T0094,new_feature,mid,1,1,27.0,36.4,9.4,34.8
T0095,ui_design,senior,4,1,17.8,18.8,1.0,5.6
T0096,new_feature,senior,1,4,23.2,44.4,21.2,91.4
T0097,new_feature,senior,4,4,43.4,51.4,8.0,18.4
T0098,integration,junior,4,4,44.3,8.9,-35.4,-79.9
T0099,integration,mid,5,4,44.8,86.7,41.9,93.5
T0100,bug_fix,junior,4,1,12.8,14.7,1.9,14.8
T0101,ui_design,mid,2,4,17.1,23.3,6.2,36.3
T0102,bug_fix,junior,4,3,14.6,15.4,0.8,5.5
T0103,ui_design,mid,5,1,28.2,35.1,6.9,24.5
T0104,bug_fix,mid,2,1,8.4,12.2,3.8,45.2
T0105,integration,mid,1,4,17.0,34.7,17.7,104.1
T0106,integration,mid,5,2,53.7,78.0,24.3,45.3
T0107,integration,senior,1,4,18.5,22.7,4.2,22.7
T0108,integration,senior,3,1,32.1,51.9,19.8,61.7
T0109,refactor,mid,2,2,21.6,34.4,12.8,59.3
T0110,integration,mid,1,2,16.9,31.2,14.3,84.6
T0111,new_feature,senior,4,2,50.3,63.7,13.4,26.6
T0112,integration,junior,1,3,21.9,48.0,26.1,119.2
T0113,refactor,junior,4,4,33.8,64.0,30.2,89.3
T0114,refactor,junior,4,4,27.6,64.1,36.5,132.2
T0115,refactor,mid,1,3,15.8,15.2,-0.6,-3.8
T0116,refactor,mid,1,1,17.2,17.7,0.5,2.9
T0117,bug_fix,senior,4,4,10.0,15.9,5.9,59.0
T0118,bug_fix,mid,3,3,9.1,12.3,3.2,35.2
T0119,new_feature,junior,1,3,26.1,20.3,-5.8,-22.2
T0120,bug_fix,senior,5,3,14.8,21.0,6.2,41.9
T0121,refactor,senior,2,4,22.5,33.4,10.9,48.4
T0122,integration,junior,1,4,23.7,44.3,20.6,86.9
T0123,integration,mid,5,3,50.2,89.6,39.4,78.5
T0124,refactor,junior,1,3,17.1,19.3,2.2,12.9
T0125,ui_design,junior,3,3,25.9,52.5,26.6,102.7
T0126,refactor,junior,5,2,37.6,26.6,-11.0,-29.3
T0127,bug_fix,senior,3,2,9.4,10.6,1.2,12.8
T0128,integration,mid,3,3,35.5,59.9,24.4,68.7
T0129,refactor,mid,2,1,22.5,30.8,8.3,36.9
T0130,integration,mid,1,2,18.9,17.2,-1.7,-9.0
T0131,refactor,mid,3,3,24.4,19.7,-4.7,-19.3
T0132,refactor,senior,5,4,47.3,44.8,-2.5,-5.3
T0133,bug_fix,senior,1,3,6.2,8.3,2.1,33.9
T0134,refactor,mid,5,2,35.6,29.0,-6.6,-18.5
T0135,integration,mid,3,2,37.1,51.8,14.7,39.6
T0136,new_feature,senior,3,3,40.4,69.5,29.1,72.0
T0137,integration,mid,1,3,19.5,26.9,7.4,37.9
T0138,bug_fix,senior,4,1,13.0,15.5,2.5,19.2
T0139,new_feature,junior,1,3,20.9,28.3,7.4,35.4
T0140,refactor,senior,2,2,22.4,29.3,6.9,30.8
T0141,ui_design,mid,4,3,29.3,40.4,11.1,37.9
T0142,new_feature,junior,1,4,25.1,28.9,3.8,15.1
T0143,new_feature,mid,3,4,39.3,62.7,23.4,59.5
T0144,refactor,mid,3,3,25.8,42.5,16.7,64.7
T0145,ui_design,junior,1,2,11.5,15.3,3.8,33.0
T0146,ui_design,mid,2,2,15.8,10.9,-4.9,-31.0
T0147,bug_fix,senior,2,1,7.8,9.9,2.1,26.9
T0148,new_feature,junior,4,4,53.7,46.0,-7.7,-14.3
T0149,ui_design,mid,5,4,23.8,43.2,19.4,81.5
T0150,bug_fix,mid,5,4,15.6,28.6,13.0,83.3
T0151,ui_design,junior,1,2,11.5,14.7,3.2,27.8
T0152,new_feature,senior,1,2,24.9,37.2,12.3,49.4
T0153,ui_design,senior,1,4,10.6,13.4,2.8,26.4
T0154,new_feature,junior,3,3,46.2,94.4,48.2,104.3
T0155,refactor,senior,1,3,18.0,21.7,3.7,20.6
T0156,integration,senior,2,2,29.6,48.0,18.4,62.2
T0157,bug_fix,junior,5,2,12.2,21.1,8.9,73.0
T0158,refactor,senior,5,3,41.6,48.6,7.0,16.8
T0159,refactor,junior,5,4,40.0,39.4,-0.6,-1.5
T0160,integration,senior,2,2,22.7,29.2,6.5,28.6
T0161,ui_design,mid,4,4,24.5,22.4,-2.1,-8.6
T0162,integration,mid,4,1,42.5,30.1,-12.4,-29.2
T0163,refactor,junior,1,2,16.9,26.7,9.8,58.0
T0164,refactor,senior,3,4,27.7,48.0,20.3,73.3
T0165,refactor,junior,3,4,28.0,62.7,34.7,123.9
T0166,ui_design,junior,2,4,18.6,6.5,-12.1,-65.1
T0167,new_feature,junior,4,2,55.2,106.7,51.5,93.3
T0168,bug_fix,senior,4,4,8.8,15.2,6.4,72.7
T0169,new_feature,junior,3,4,39.5,52.5,13.0,32.9
T0170,bug_fix,senior,4,4,12.1,17.5,5.4,44.6
T0171,bug_fix,mid,4,1,10.1,5.1,-5.0,-49.5
T0172,bug_fix,junior,3,3,10.3,15.4,5.1,49.5
T0173,integration,junior,2,4,30.4,28.5,-1.9,-6.2
T0174,integration,junior,4,4,36.5,71.5,35.0,95.9
T0175,integration,mid,4,1,42.4,34.6,-7.8,-18.4
T0176,refactor,senior,5,4,34.9,51.5,16.6,47.6
T0177,integration,junior,1,1,18.7,39.6,20.9,111.8
T0178,bug_fix,senior,3,2,11.7,12.8,1.1,9.4
T0179,ui_design,junior,5,3,27.2,16.2,-11.0,-40.4
T0180,refactor,senior,3,2,28.5,22.9,-5.6,-19.6
T0181,ui_design,senior,5,3,23.4,27.4,4.0,17.1
T0182,bug_fix,senior,1,1,7.1,7.5,0.4,5.6
T0183,refactor,mid,1,3,17.0,12.3,-4.7,-27.6
T0184,integration,senior,4,3,40.3,72.4,32.1,79.7
T0185,refactor,junior,2,3,22.8,23.2,0.4,1.8
T0186,refactor,junior,3,2,23.4,14.3,-9.1,-38.9
T0187,bug_fix,junior,3,2,11.4,10.6,-0.8,-7.0
T0188,new_feature,mid,3,2,39.5,74.9,35.4,89.6
T0189,new_feature,mid,5,2,56.4,96.1,39.7,70.4
T0190,new_feature,mid,1,3,22.8,34.4,11.6,50.9
T0191,integration,senior,4,2,38.6,66.1,27.5,71.2
T0192,integration,junior,5,2,51.3,38.4,-12.9,-25.1
T0193,integration,mid,4,2,42.0,66.4,24.4,58.1
T0194,new_feature,junior,2,1,34.5,49.7,15.2,44.1
T0195,ui_design,junior,1,3,12.0,11.5,-0.5,-4.2
T0196,bug_fix,mid,4,4,12.9,20.6,7.7,59.7
T0197,new_feature,senior,3,2,39.1,50.3,11.2,28.6
T0198,bug_fix,mid,1,4,7.3,11.9,4.6,63.0
T0199,new_feature,junior,2,3,27.3,53.4,26.1,95.6
T0200,ui_design,mid,5,1,32.4,6.2,-26.2,-80.9
T0201,new_feature,junior,2,2,36.8,82.4,45.6,123.9
T0202,ui_design,senior,1,1,11.0,6.3,-4.7,-42.7
T0203,refactor,mid,4,1,40.1,36.5,-3.6,-9.0
T0204,integration,junior,1,2,22.0,50.3,28.3,128.6
T0205,refactor,junior,5,2,42.1,42.9,0.8,1.9
T0206,new_feature,junior,5,4,57.8,32.9,-24.9,-43.1
T0207,integration,senior,5,1,47.0,57.0,10.0,21.3
T0208,ui_design,mid,5,4,28.2,47.3,19.1,67.7
T0209,new_feature,senior,2,1,33.7,32.4,-1.3,-3.9
T0210,integration,mid,2,1,30.8,58.8,28.0,90.9
T0211,new_feature,mid,2,3,33.0,50.9,17.9,54.2
T0212,integration,junior,3,4,30.9,25.7,-5.2,-16.8
T0213,integration,senior,5,3,52.0,79.8,27.8,53.5
T0214,refactor,junior,4,1,35.8,21.4,-14.4,-40.2
T0215,integration,mid,4,1,43.7,78.7,35.0,80.1
T0216,new_feature,mid,5,2,61.9,108.8,46.9,75.8
T0217,bug_fix,mid,4,2,12.0,7.7,-4.3,-35.8
T0218,bug_fix,senior,2,4,7.3,9.8,2.5,34.2
T0219,refactor,junior,3,2,24.8,18.0,-6.8,-27.4
T0220,ui_design,mid,3,1,17.1,24.5,7.4,43.3
T0221,bug_fix,mid,1,4,6.1,5.4,-0.7,-11.5
T0222,refactor,mid,4,1,32.5,51.8,19.3,59.4
T0223,integration,junior,4,1,39.2,56.0,16.8,42.9
T0224,new_feature,junior,4,2,34.7,24.1,-10.6,-30.5
T0225,integration,junior,3,2,29.8,32.4,2.6,8.7
T0226,new_feature,junior,4,3,54.7,54.8,0.1,0.2
T0227,ui_design,mid,5,4,26.9,22.5,-4.4,-16.4
T0228,refactor,mid,3,4,28.2,39.5,11.3,40.1
T0229,refactor,mid,3,2,23.4,18.2,-5.2,-22.2
T0230,bug_fix,mid,1,4,6.9,3.8,-3.1,-44.9
T0231,refactor,mid,4,3,32.3,36.8,4.5,13.9
T0232,ui_design,junior,5,1,29.6,5.9,-23.7,-80.1
T0233,bug_fix,mid,4,4,15.2,17.1,1.9,12.5
T0234,integration,junior,5,1,55.3,47.4,-7.9,-14.3
T0235,refactor,junior,5,3,37.2,28.9,-8.3,-22.3
T0236,integration,mid,4,4,38.6,108.3,69.7,180.6
T0237,integration,mid,3,1,32.9,48.5,15.6,47.4
T0238,refactor,junior,1,2,16.8,22.2,5.4,32.1
T0239,new_feature,mid,1,2,23.7,17.4,-6.3,-26.6
T0240,integration,mid,2,4,25.9,38.0,12.1,46.7
T0241,bug_fix,mid,3,1,11.7,14.3,2.6,22.2
T0242,refactor,mid,4,3,32.4,29.5,-2.9,-9.0
T0243,bug_fix,mid,3,2,12.5,19.5,7.0,56.0
T0244,integration,junior,1,1,20.2,13.4,-6.8,-33.7
T0245,integration,senior,2,3,31.8,51.2,19.4,61.0
T0246,bug_fix,mid,5,4,14.9,17.8,2.9,19.5
T0247,integration,mid,5,3,52.6,92.5,39.9,75.9
T0248,refactor,mid,2,1,20.0,18.1,-1.9,-9.5
T0249,integration,mid,5,1,43.9,58.8,14.9,33.9
T0250,bug_fix,mid,4,2,12.9,15.0,2.1,16.3
T0251,bug_fix,mid,5,3,15.8,16.7,0.9,5.7
T0252,refactor,senior,5,3,38.6,52.8,14.2,36.8
T0253,bug_fix,senior,4,1,10.7,12.7,2.0,18.7
T0254,new_feature,mid,2,3,28.0,42.8,14.8,52.9
T0255,integration,mid,4,2,35.1,48.3,13.2,37.6
T0256,bug_fix,senior,2,3,6.7,10.0,3.3,49.3
T0257,integration,junior,2,4,27.3,43.9,16.6,60.8
T0258,bug_fix,senior,4,3,13.7,17.4,3.7,27.0
T0259,bug_fix,mid,3,1,10.2,12.1,1.9,18.6
T0260,refactor,junior,3,4,21.1,50.8,29.7,140.8
T0261,integration,junior,2,1,26.5,15.2,-11.3,-42.6
T0262,bug_fix,senior,3,4,10.0,15.9,5.9,59.0
T0263,new_feature,junior,1,1,29.0,5.8,-23.2,-80.0
T0264,ui_design,junior,4,3,21.0,28.1,7.1,33.8
T0265,ui_design,junior,3,1,19.6,35.2,15.6,79.6
T0266,refactor,junior,5,1,45.0,60.4,15.4,34.2
T0267,refactor,junior,3,3,28.4,39.0,10.6,37.3
T0268,new_feature,mid,3,3,43.1,56.9,13.8,32.0
T0269,integration,junior,1,1,20.2,29.7,9.5,47.0
T0270,refactor,senior,1,4,16.5,21.7,5.2,31.5
T0271,new_feature,senior,2,2,34.9,44.9,10.0,28.7
T0272,bug_fix,mid,2,2,7.4,8.4,1.0,13.5
T0273,bug_fix,junior,2,2,8.8,11.9,3.1,35.2
T0274,ui_design,mid,2,2,14.0,12.5,-1.5,-10.7
T0275,refactor,junior,4,1,33.9,23.8,-10.1,-29.8
T0276,refactor,mid,1,2,16.3,12.0,-4.3,-26.4
T0277,refactor,senior,2,1,20.3,23.6,3.3,16.3
T0278,integration,senior,1,1,20.0,31.4,11.4,57.0
T0279,bug_fix,senior,2,2,7.6,9.8,2.2,28.9
T0280,bug_fix,junior,4,3,11.0,21.0,10.0,90.9
T0281,new_feature,mid,1,4,23.2,39.8,16.6,71.6
T0282,refactor,mid,2,2,19.2,25.3,6.1,31.8
T0283,integration,mid,1,2,20.6,35.0,14.4,69.9
T0284,refactor,mid,5,4,34.0,45.2,11.2,32.9
T0285,refactor,junior,4,3,35.1,34.1,-1.0,-2.8
T0286,ui_design,junior,2,4,14.3,37.2,22.9,160.1
T0287,bug_fix,mid,1,4,5.7,7.1,1.4,24.6
T0288,refactor,junior,1,4,15.0,14.3,-0.7,-4.7
T0289,refactor,junior,3,4,30.8,50.2,19.4,63.0
T0290,refactor,senior,4,2,33.9,41.8,7.9,23.3
T0291,ui_design,senior,3,2,20.0,17.9,-2.1,-10.5
T0292,new_feature,mid,5,2,60.5,115.9,55.4,91.6
T0293,ui_design,senior,2,1,12.8,13.3,0.5,3.9
T0294,new_feature,senior,2,3,32.3,42.2,9.9,30.7
T0295,refactor,junior,3,3,32.6,63.9,31.3,96.0
T0296,refactor,mid,2,4,21.9,35.1,13.2,60.3
T0297,ui_design,mid,5,1,29.0,19.7,-9.3,-32.1
T0298,refactor,junior,1,2,16.9,36.1,19.2,113.6
T0299,new_feature,senior,3,1,44.5,66.0,21.5,48.3
T0300,bug_fix,mid,3,4,8.2,11.7,3.5,42.7
T0301,new_feature,mid,1,2,20.0,42.1,22.1,110.5
T0302,ui_design,junior,3,1,20.8,23.4,2.6,12.5
T0303,bug_fix,junior,3,3,9.5,12.5,3.0,31.6
T0304,ui_design,senior,2,4,18.3,21.5,3.2,17.5
T0305,refactor,junior,1,4,15.5,26.7,11.2,72.3
T0306,bug_fix,junior,1,1,4.8,6.7,1.9,39.6
T0307,new_feature,junior,1,2,21.0,30.8,9.8,46.7
T0308,refactor,mid,3,1,19.7,16.9,-2.8,-14.2
T0309,new_feature,mid,1,2,23.4,35.4,12.0,51.3
T0310,bug_fix,mid,5,3,14.1,18.4,4.3,30.5
T0311,integration,junior,2,2,25.9,16.2,-9.7,-37.5
T0312,integration,junior,4,1,45.4,22.2,-23.2,-51.1
T0313,bug_fix,senior,4,3,13.8,20.0,6.2,44.9
T0314,new_feature,mid,3,1,40.1,14.7,-25.4,-63.3
T0315,new_feature,mid,5,1,45.3,64.7,19.4,42.8
T0316,integration,mid,1,1,21.2,26.6,5.4,25.5
T0317,integration,senior,2,1,28.5,49.4,20.9,73.3
T0318,integration,junior,2,2,27.8,33.9,6.1,21.9
T0319,ui_design,mid,1,4,13.2,20.4,7.2,54.5
T0320,integration,mid,2,4,23.9,38.2,14.3,59.8
T0321,new_feature,junior,2,1,38.9,55.2,16.3,41.9
T0322,bug_fix,senior,4,1,11.1,14.2,3.1,27.9
T0323,integration,mid,2,2,29.0,39.5,10.5,36.2
T0324,ui_design,senior,5,3,23.9,33.5,9.6,40.2
T0325,ui_design,senior,4,3,22.3,23.1,0.8,3.6
T0326,new_feature,mid,5,4,66.3,120.1,53.8,81.1
T0327,new_feature,senior,1,2,23.4,38.8,15.4,65.8
T0328,bug_fix,mid,5,1,15.6,21.3,5.7,36.5
T0329,bug_fix,senior,4,1,12.6,18.7,6.1,48.4
T0330,refactor,junior,5,1,38.0,27.4,-10.6,-27.9
T0331,refactor,mid,2,1,24.5,16.5,-8.0,-32.7
T0332,new_feature,mid,5,4,56.2,67.9,11.7,20.8
T0333,new_feature,junior,3,2,33.5,63.4,29.9,89.3
T0334,ui_design,mid,1,4,11.0,16.3,5.3,48.2
T0335,refactor,senior,3,3,28.7,37.2,8.5,29.6
T0336,ui_design,mid,1,3,12.5,10.4,-2.1,-16.8
T0337,ui_design,junior,5,2,24.3,37.1,12.8,52.7
T0338,new_feature,junior,2,4,30.1,22.6,-7.5,-24.9
T0339,new_feature,junior,2,1,30.5,62.6,32.1,105.2
T0340,ui_design,junior,3,1,19.7,47.3,27.6,140.1
T0341,integration,senior,3,2,29.3,48.4,19.1,65.2
T0342,new_feature,mid,1,2,22.5,38.2,15.7,69.8
T0343,integration,junior,5,3,44.5,58.2,13.7,30.8
T0344,refactor,mid,5,3,41.4,26.1,-15.3,-37.0
T0345,ui_design,junior,4,3,26.6,23.6,-3.0,-11.3
T0346,new_feature,junior,4,2,48.5,35.9,-12.6,-26.0
T0347,ui_design,mid,3,2,19.6,13.2,-6.4,-32.7
T0348,ui_design,mid,3,4,20.7,39.9,19.2,92.8
T0349,bug_fix,senior,3,1,9.4,11.3,1.9,20.2
T0350,bug_fix,mid,1,3,5.3,7.8,2.5,47.2
T0351,refactor,mid,1,3,14.5,16.9,2.4,16.6
T0352,bug_fix,senior,2,4,7.6,10.6,3.0,39.5
T0353,new_feature,senior,3,3,36.1,64.7,28.6,79.2
T0354,refactor,mid,1,2,16.3,19.2,2.9,17.8
T0355,ui_design,senior,1,2,12.9,15.8,2.9,22.5
T0356,ui_design,senior,5,2,24.2,26.6,2.4,9.9
T0357,bug_fix,senior,2,2,8.1,9.5,1.4,17.3
T0358,ui_design,junior,3,1,20.0,7.7,-12.3,-61.5
T0359,bug_fix,mid,3,3,10.5,6.3,-4.2,-40.0
T0360,integration,mid,4,1,40.9,55.0,14.1,34.5
T0361,ui_design,mid,4,3,21.0,26.0,5.0,23.8
T0362,ui_design,mid,2,4,14.2,11.8,-2.4,-16.9
T0363,new_feature,senior,5,4,57.8,96.3,38.5,66.6
T0364,ui_design,senior,2,1,17.9,18.9,1.0,5.6
T0365,bug_fix,junior,5,4,11.2,1.0,-10.2,-91.1
T0366,refactor,mid,3,1,28.1,23.0,-5.1,-18.1
T0367,refactor,mid,1,2,17.9,23.7,5.8,32.4
T0368,new_feature,junior,4,1,48.4,76.7,28.3,58.5
T0369,bug_fix,junior,1,1,6.3,3.5,-2.8,-44.4
T0370,integration,junior,4,1,38.1,59.2,21.1,55.4
T0371,new_feature,senior,1,1,23.7,36.9,13.2,55.7
T0372,integration,mid,2,4,22.6,49.5,26.9,119.0
T0373,refactor,senior,4,1,25.1,27.2,2.1,8.4
T0374,new_feature,mid,5,2,63.0,79.8,16.8,26.7
T0375,ui_design,senior,3,3,18.4,20.3,1.9,10.3
T0376,bug_fix,mid,1,4,5.7,9.2,3.5,61.4
T0377,integration,senior,2,4,23.3,43.1,19.8,85.0
T0378,integration,junior,5,1,41.2,76.7,35.5,86.2
T0379,new_feature,mid,4,4,48.3,83.8,35.5,73.5
T0380,new_feature,senior,1,3,22.2,39.0,16.8,75.7
T0381,bug_fix,senior,2,1,8.4,9.8,1.4,16.7
T0382,ui_design,senior,2,2,16.9,21.4,4.5,26.6
T0383,ui_design,junior,1,4,12.4,22.5,10.1,81.5
T0384,new_feature,mid,5,2,59.0,66.6,7.6,12.9
T0385,bug_fix,junior,4,1,14.2,3.0,-11.2,-78.9
T0386,bug_fix,junior,1,4,5.4,13.0,7.6,140.7
T0387,bug_fix,mid,4,4,12.2,18.6,6.4,52.5
T0388,ui_design,mid,3,4,22.7,15.4,-7.3,-32.2
T0389,ui_design,senior,1,4,13.5,15.7,2.2,16.3
T0390,bug_fix,senior,3,4,8.7,13.8,5.1,58.6
T0391,integration,mid,1,2,19.4,28.0,8.6,44.3
T0392,bug_fix,senior,2,1,9.2,9.8,0.6,6.5
T0393,new_feature,junior,5,3,60.5,154.5,94.0,155.4
T0394,refactor,junior,4,1,33.4,19.4,-14.0,-41.9
T0395,integration,mid,1,2,19.6,23.8,4.2,21.4
T0396,ui_design,senior,5,3,27.7,34.8,7.1,25.6
T0397,bug_fix,junior,3,4,10.5,17.6,7.1,67.6
T0398,bug_fix,mid,5,2,14.0,19.8,5.8,41.4
T0399,new_feature,mid,4,2,49.0,89.7,40.7,83.1
T0400,new_feature,junior,2,3,32.7,55.8,23.1,70.6
T0401,ui_design,mid,3,1,19.0,22.7,3.7,19.5
T0402,integration,senior,3,3,35.8,57.9,22.1,61.7
T0403,new_feature,mid,4,3,63.5,101.2,37.7,59.4
T0404,ui_design,junior,2,3,13.3,17.0,3.7,27.8
T0405,refactor,senior,2,2,22.3,27.3,5.0,22.4
T0406,refactor,junior,2,4,20.0,36.8,16.8,84.0
T0407,refactor,senior,2,2,22.8,29.3,6.5,28.5
T0408,bug_fix,junior,1,3,6.0,8.2,2.2,36.7
T0409,ui_design,mid,1,2,12.9,11.3,-1.6,-12.4
T0410,bug_fix,mid,5,1,16.1,18.9,2.8,17.4
T0411,bug_fix,junior,1,3,6.1,8.0,1.9,31.1
T0412,new_feature,senior,5,1,64.1,89.0,24.9,38.8
T0413,new_feature,junior,1,4,18.4,61.4,43.0,233.7
T0414,bug_fix,junior,4,3,14.3,14.6,0.3,2.1
T0415,bug_fix,junior,2,2,8.4,12.4,4.0,47.6
T0416,integration,mid,3,2,37.7,76.7,39.0,103.4
T0417,ui_design,senior,2,3,14.2,17.5,3.3,23.2
T0418,bug_fix,senior,3,2,9.4,15.8,6.4,68.1
T0419,new_feature,junior,3,2,41.4,50.1,8.7,21.0
T0420,refactor,mid,3,2,27.2,35.2,8.0,29.4
T0421,ui_design,junior,2,2,16.7,12.1,-4.6,-27.5
T0422,integration,mid,3,4,37.7,61.1,23.4,62.1
T0423,integration,senior,5,1,39.5,59.4,19.9,50.4
T0424,refactor,mid,3,4,29.8,50.3,20.5,68.8
T0425,refactor,mid,2,2,21.6,28.0,6.4,29.6
T0426,bug_fix,mid,1,3,5.9,10.6,4.7,79.7
T0427,ui_design,senior,2,1,13.8,14.3,0.5,3.6
T0428,ui_design,mid,1,2,12.6,13.0,0.4,3.2
T0429,bug_fix,junior,1,4,4.6,14.5,9.9,215.2
T0430,integration,mid,5,2,51.1,88.9,37.8,74.0
T0431,bug_fix,junior,1,1,5.1,4.0,-1.1,-21.6
T0432,integration,junior,3,3,34.2,39.6,5.4,15.8
T0433,ui_design,junior,5,1,28.5,17.2,-11.3,-39.6
T0434,bug_fix,mid,5,2,16.1,25.2,9.1,56.5
